PS C:\Users\user\Downloads> python main.py --use_per True
Microsoft Visual C++ Redistributable is not installed, this may lead to the DLL load failure.
                 It can be downloaded at https://aka.ms/vs/16/release/vc_redist.x64.exe
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 45: 495.0
Episode 46: 500.0
Episode 47: 500.0
Episode 48: 500.0
Episode 49: 500.0
Episode 50: 500.0
Episode 51: 500.0
END train function
Minimum number of episodes for 475 : 51, Average of 20 episodes reward : 475.25
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 0: 11.0
Episode 1: 20.0
Episode 2: 27.0
Episode 3: 22.0
Episode 4: 10.0
Episode 5: 38.0
Episode 6: 58.0
Episode 7: 41.0
Episode 8: 11.0
Episode 9: 13.0
Episode 10: 30.0
Episode 11: 12.0
Episode 12: 47.0
Episode 13: 57.0
Episode 14: 27.0
Episode 15: 38.0
Episode 16: 29.0
Episode 17: 162.0
Episode 18: 63.0
Episode 19: 53.0
Episode 20: 57.0
Episode 21: 94.0
Episode 22: 88.0
Episode 23: 105.0
Episode 24: 62.0
Episode 25: 88.0
Episode 26: 191.0
Episode 27: 468.0
Episode 28: 346.0
Episode 29: 254.0
Episode 30: 386.0
Episode 31: 288.0
Episode 32: 380.0
Episode 33: 355.0
Episode 34: 500.0
Episode 35: 279.0
Episode 36: 500.0
Episode 37: 357.0
Episode 38: 500.0
Episode 39: 389.0
Episode 40: 456.0
Episode 41: 438.0
Episode 42: 447.0
Episode 43: 361.0
Episode 44: 500.0
Episode 45: 493.0
Episode 46: 497.0
Episode 47: 419.0
Episode 48: 500.0
Episode 49: 500.0
Episode 50: 500.0
Episode 51: 500.0
Episode 52: 500.0
Episode 53: 500.0
Episode 54: 500.0
Episode 55: 500.0
Episode 56: 500.0
Episode 57: 500.0
Episode 58: 500.0
Episode 59: 500.0
END train function
Minimum number of episodes for 475 : 59, Average of 20 episodes reward : 480.55
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 0: 20.0
Episode 1: 29.0
Episode 2: 18.0
Episode 3: 10.0
Episode 4: 48.0
Episode 5: 16.0
Episode 6: 49.0
Episode 7: 12.0
Episode 8: 11.0
Episode 9: 21.0
Episode 10: 21.0
Episode 11: 44.0
Episode 12: 73.0
Episode 13: 65.0
Episode 14: 55.0
Episode 15: 119.0
Episode 16: 35.0
Episode 17: 79.0
Episode 18: 25.0
Episode 19: 49.0
Episode 20: 79.0
Episode 21: 72.0
Episode 22: 105.0
Episode 23: 88.0
Episode 24: 66.0
Episode 25: 168.0
Episode 26: 88.0
Episode 27: 210.0
Episode 28: 297.0
Episode 29: 218.0
Episode 30: 237.0
Episode 31: 292.0
Episode 32: 362.0
Episode 33: 301.0
Episode 34: 374.0
Episode 35: 312.0
Episode 36: 500.0
Episode 37: 246.0
Episode 38: 500.0
Episode 39: 279.0
Episode 40: 396.0
Episode 41: 427.0
Episode 42: 375.0
Episode 43: 328.0
Episode 44: 411.0
Episode 45: 398.0
Episode 46: 421.0
Episode 47: 377.0
Episode 48: 500.0
Episode 49: 417.0
Episode 50: 450.0
Episode 51: 500.0
Episode 52: 500.0
Episode 53: 500.0
Episode 54: 500.0
Episode 55: 500.0
Episode 56: 500.0
Episode 57: 500.0
Episode 58: 500.0
Episode 59: 500.0
Episode 60: 500.0
Episode 61: 500.0
Episode 62: 500.0
Episode 63: 500.0
Episode 64: 500.0
END train function
Minimum number of episodes for 475 : 64, Average of 20 episodes reward : 478.15
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 0: 13.0
Episode 1: 13.0
Episode 2: 18.0
Episode 3: 41.0
Episode 4: 43.0
Episode 5: 28.0
Episode 6: 25.0
Episode 7: 27.0
Episode 8: 49.0
Episode 9: 13.0
Episode 10: 46.0
Episode 11: 30.0
Episode 12: 28.0
Episode 13: 107.0
Episode 14: 37.0
Episode 15: 68.0
Episode 16: 80.0
Episode 17: 123.0
Episode 18: 213.0
Episode 19: 56.0
Episode 20: 82.0
Episode 21: 61.0
Episode 22: 173.0
Episode 23: 90.0
Episode 24: 116.0
Episode 25: 438.0
Episode 26: 431.0
Episode 27: 268.0
Episode 28: 354.0
Episode 29: 268.0
Episode 30: 257.0
Episode 31: 338.0
Episode 32: 475.0
Episode 33: 500.0
Episode 34: 500.0
Episode 35: 357.0
Episode 36: 420.0
Episode 37: 403.0
Episode 38: 446.0
Episode 39: 386.0
Episode 40: 429.0
Episode 41: 461.0
Episode 42: 483.0
Episode 43: 446.0
Episode 44: 499.0
Episode 45: 500.0
Episode 46: 500.0
Episode 47: 470.0
Episode 48: 500.0
Episode 49: 500.0
Episode 50: 500.0
Episode 51: 500.0
Episode 52: 500.0
Episode 53: 500.0
Episode 54: 500.0
Episode 55: 500.0
Episode 56: 500.0
END train function
Minimum number of episodes for 475 : 56, Average of 20 episodes reward : 476.15
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 0: 18.0
Episode 1: 16.0
Episode 2: 21.0
Episode 3: 19.0
Episode 4: 21.0
Episode 5: 10.0
Episode 6: 15.0
Episode 7: 22.0
Episode 8: 69.0
Episode 9: 23.0
Episode 10: 14.0
Episode 11: 37.0
