PS C:\Users\user\Downloads> python main.py
Microsoft Visual C++ Redistributable is not installed, this may lead to the DLL load failure.
                 It can be downloaded at https://aka.ms/vs/16/release/vc_redist.x64.exe
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 57: 235.0
Episode 58: 500.0
Episode 59: 500.0
Episode 60: 500.0
Episode 61: 500.0
Episode 62: 500.0
END train function
Minimum number of episodes for 475 : 62, Average of 20 episodes reward : 477.1
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 0: 17.0
Episode 1: 19.0
Episode 2: 21.0
Episode 3: 44.0
Episode 4: 31.0
Episode 5: 21.0
Episode 6: 53.0
Episode 7: 71.0
Episode 8: 75.0
Episode 9: 79.0
Episode 10: 41.0
Episode 11: 88.0
Episode 12: 96.0
Episode 13: 120.0
Episode 14: 54.0
Episode 15: 83.0
Episode 16: 81.0
Episode 17: 104.0
Episode 18: 119.0
Episode 19: 53.0
Episode 20: 148.0
Episode 21: 155.0
Episode 22: 500.0
Episode 23: 480.0
Episode 24: 500.0
Episode 25: 500.0
Episode 26: 260.0
Episode 27: 330.0
Episode 28: 381.0
Episode 29: 332.0
Episode 30: 390.0
Episode 31: 328.0
Episode 32: 500.0
Episode 33: 471.0
Episode 34: 491.0
Episode 35: 400.0
Episode 36: 500.0
Episode 37: 358.0
Episode 38: 454.0
Episode 39: 443.0
Episode 40: 465.0
Episode 41: 483.0
Episode 42: 490.0
Episode 43: 500.0
Episode 44: 500.0
Episode 45: 500.0
Episode 46: 500.0
Episode 47: 500.0
Episode 48: 500.0
Episode 49: 500.0
Episode 50: 500.0
Episode 51: 500.0
END train function
Minimum number of episodes for 475 : 51, Average of 20 episodes reward : 477.75
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 0: 14.0
Episode 1: 43.0
Episode 2: 15.0
Episode 3: 29.0
Episode 4: 46.0
Episode 5: 13.0
Episode 6: 49.0
Episode 7: 93.0
Episode 8: 28.0
Episode 9: 19.0
Episode 10: 21.0
Episode 11: 41.0
Episode 12: 23.0
Episode 13: 67.0
Episode 14: 50.0
Episode 15: 101.0
Episode 16: 72.0
Episode 17: 69.0
Episode 18: 247.0
Episode 19: 38.0
Episode 20: 76.0
Episode 21: 97.0
Episode 22: 92.0
Episode 23: 77.0
Episode 24: 101.0
Episode 25: 185.0
Episode 26: 117.0
Episode 27: 254.0
Episode 28: 217.0
Episode 29: 237.0
Episode 30: 191.0
Episode 31: 210.0
Episode 32: 297.0
Episode 33: 304.0
Episode 34: 323.0
Episode 35: 227.0
Episode 36: 400.0
Episode 37: 231.0
Episode 38: 500.0
Episode 39: 266.0
Episode 40: 306.0
Episode 41: 363.0
Episode 42: 320.0
Episode 43: 270.0
Episode 44: 342.0
Episode 45: 367.0
Episode 46: 385.0
Episode 47: 334.0
Episode 48: 455.0
Episode 49: 331.0
Episode 50: 350.0
Episode 51: 392.0
Episode 52: 422.0
Episode 53: 432.0
Episode 54: 413.0
Episode 55: 430.0
Episode 56: 437.0
Episode 57: 210.0
Episode 58: 461.0
Episode 59: 437.0
Episode 60: 464.0
Episode 61: 500.0
Episode 62: 500.0
Episode 63: 500.0
Episode 64: 500.0
Episode 65: 500.0
Episode 66: 500.0
Episode 67: 500.0
Episode 68: 500.0
Episode 69: 500.0
Episode 70: 500.0
Episode 71: 500.0
Episode 72: 500.0
Episode 73: 500.0
Episode 74: 500.0
Episode 75: 500.0
END train function
Minimum number of episodes for 475 : 75, Average of 20 episodes reward : 475.45
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 0: 9.0
Episode 1: 35.0
Episode 2: 17.0
Episode 3: 27.0
Episode 4: 11.0
Episode 5: 44.0
Episode 6: 11.0
Episode 7: 27.0
Episode 8: 87.0
Episode 9: 80.0
Episode 10: 52.0
Episode 11: 29.0
Episode 12: 43.0
Episode 13: 65.0
Episode 14: 35.0
Episode 15: 45.0
Episode 16: 77.0
Episode 17: 31.0
Episode 18: 45.0
Episode 19: 58.0
Episode 20: 59.0
Episode 21: 79.0
Episode 22: 81.0
Episode 23: 39.0
Episode 24: 61.0
Episode 25: 87.0
Episode 26: 73.0
Episode 27: 161.0
Episode 28: 176.0
Episode 29: 184.0
Episode 30: 434.0
Episode 31: 350.0
Episode 32: 326.0
Episode 33: 288.0
Episode 34: 284.0
Episode 35: 323.0
Episode 36: 342.0
Episode 37: 304.0
Episode 38: 465.0
Episode 39: 287.0
Episode 40: 374.0
Episode 41: 401.0
Episode 42: 378.0
Episode 43: 306.0
Episode 44: 446.0
Episode 45: 431.0
Episode 46: 488.0
Episode 47: 396.0
Episode 48: 500.0
Episode 49: 443.0
Episode 50: 463.0
Episode 51: 500.0
Episode 52: 500.0
Episode 53: 500.0
Episode 54: 500.0
Episode 55: 500.0
Episode 56: 500.0
Episode 57: 500.0
Episode 58: 500.0
Episode 59: 500.0
Episode 60: 500.0
Episode 61: 500.0
Episode 62: 500.0
Episode 63: 500.0
END train function
Minimum number of episodes for 475 : 63, Average of 20 episodes reward : 483.35
END main function
Average number of episodes for 475 : 62.8
